Title,Discription,Genre
The Maze Runner,set in a postapocalypt world young thoma be deposit in a commun of boy after hi memori be eras soon learn there all trap in a maze that will requir him to join forc with fellow runner for a shoot at escap,"Action, Mystery, Science Fiction, Thriller"
A League of Their Own,as america stock of athlet young men be deplet dure world war ii a profession allfemal basebal leagu spring up in the midwest fund by publicityhungri candi maker walter harvey competit sister dotti hanson and kit keller spar with each other scout erni capadino and grumpi hasbeen coach jimmi duran on their way to fame,"Comedy, Drama"
Dracula,british estat agent infield travel to transylvanian to meet with the mysteri count dracula who be interest in leas a castl in london and be unbeknownst to infield a vampir after dracula enslav infield and drive him to insan the pair sail to london togeth and as dracula begin prey on london socialit the two becom the subject of studi for a supernatur professor abraham van hels,"Drama, Fantasy, Horror"
Carnage,after 11yearold zachari rowan strike hi classmat across the face with a stick after an argument the victim parent invit zachari parent to their brooklyn apart to deal with the incid in a civil manner,"Comedy, Drama"
The Patriot,after prove himself on the field of battl in the french and indian war benjamin martin want noth more to do with such thing prefer the simpl life of a farmer but when hi son gabriel enlist in the armi to defend their new nation america against the british benjamin reluctantli return to hi old life to protect hi son,"Action, Drama, History, War"
The English Patient,in the 1930 count almost be a hungarian map maker employ by the royal geograph societi to chart the vast expans of the sahara desert along with sever other promin explor as world war ii unfold almost enter into a world of love betray and polit,"Drama, Romance, War"
De rouille et d'os,put in charg of hi young son ali leav belgium for panti to live with hi sister and her husband as a famili alia bond with stephani a killer whale trainer grow deeper after stephani suffer a horribl accid,"Drama, Romance"
Watership Down,when the warren belong to a commun of rabbit be threaten a brave group lead by fiver bigwig blackberri and hazel leav their homeland in a search of a safe new haven,"Adventure, Animation, Drama"
The Parent Trap,halli parker and anni jam be ident twin separ at a young age becaus of their parent divorc unknowingli to their parent the girl be send to the same summer camp where they meet discov the truth about themselv and then plot with each other to switch place,"Comedy, Family"
Operation Petticoat,a world war ii submarin command find himself stick with a damag sub a conman execut offic and a group of armi nurs,"Comedy, War"
Star Trek IV: The Voyage Home,it the hard centuri and a mysteri alien power be threaten earth by evapor the ocean and destroy the atmospher in a frantic attempt to save mankind kirk and hi crew must time travel back to 1986 san francisco where they find a world of punk pizza and exactchang bu that be as alien as anyth they ve ever encount in the far reach of the galaxi a thrill actionpack star trek adventur,"Adventure, Science Fiction"
M3GAN,a brilliant toy compani robot use artifici intellig to develop megan a lifelik doll program to emot bond with her newli orphan niec but when the doll program work too well she becom overprotect of her new friend with terrifi result,"Horror, Science Fiction"
The Choice,travi and gabbi first meet as neighbor in a small coastal town and wind up in a relationship that be test by life most defin event,"Drama, Romance"
Nowhere Boy,the drama tell the stori of john lennon teenag year in liverpool and the start of hi journey to becom a success musician the stori also examin the impact on hi earli life and person of the two domin femal in hi childhood,Drama
One Hundred and One Dalmatians,when a litter of dalmatian puppi be abduct by the minion of cruella de vil the parent must find them befor she use them for a diabol fashion statement in a disney anim classic dalmatian pong be tire of hi bachelordog life he spi love permit and maneuv hi master roger into meet permit owner anita the owner fall in love and marri keep pong and permit togeth too after permit give birth to a litter of 15 puppi anita old school friend cruella de vil want to buy them all roger declin her offer so cruella hire the crimin bad brother to steal them so she can have a fur coat,"Adventure, Animation, Comedy, Family"
Seven Years in Tibet,austrian mountain heinrich harder journey to the himalayan without hi famili to head an expedit in 1939 but when world war ii break out the arrog harder fall into alli forc hand as a prison of war he escap with a fellow detaine and make hi way to llamo tibet where he meet the 14yearold dalai lama whose friendship ultim transform hi outlook on life,"Adventure, Drama, History"
50/50,inspir by a true stori a comedi center on a 27yearold guy who learn of hi cancer diagnosi and hi subsequ struggl to beat the diseas,"Comedy, Drama"
Der amerikanische Freund,tom riley an american who deal in forg art be slight at an auction in hamburg by pictur frame jonathan cimmerian when riley be ask by gangster raoul minor to kill a rival he suggest cimmerian and the two exploit zimmerman termin ill coerc him into be a hitman,"Drama, Thriller"
Creed III,after domin the box world adoni creed have thrive in hi career and famili life when a childhood friend and former box prodigi damian anderson resurfac after serv a long sentenc in prison he be eager to prove that he deserv hi shoot in the ring the takeoff between former friend be more than just a fight to settl the score adoni must put hi futur on the line to battl damian i a fighter with noth to lose,"Action, Drama"
The Edge of Seventeen,two high school girl be best friend until one date the other older brother who be total hi sister nemesi,"Comedy, Drama"
劇場版 NARUTO -ナルト- 疾風伝 絆,a mysteri group of ninja make a surpris attack on the konohagakur which take great damag the nightmar of anoth shinobi world war could becom a realiti assum who be still a miss nin from kono tri to kill hi brother tachi appear for the second time in front of naruto at an unknown locat to prevent it from happen,"Action, Animation, Fantasy"
Mask,a boy with a massiv facial skull deform and hi biker gang mother attempt to live as normal a life as possibl under the circumst,Drama
What Happened to Monday,in a world where famili be limit to one child due to overpopul a set of ident septuplet must avoid be put to a long sleep by the govern and danger infight while investig the disappear of one of their own,"Action, Drama, Mystery, Science Fiction, Thriller"
"좋은 놈, 나쁜 놈, 이상한 놈",the stori of three korean outlaw in 1930 manchuria and their deal with the japanes armi and chines and russian bandit the good a bounti hunter the bad a hitman and the weird a thief battl the armi and the bandit in a race to use a treasur map to uncov the rich of legend,"Action, Adventure, Comedy, Western"
Sleepy Hollow,new york detect ichabod crane be send to sleepi hollow to investig a seri of mysteri death in which the victim be find behead local believ the culprit to be none other than the legendari headless horseman,"Drama, Fantasy, Horror, Mystery, Thriller"
The Map of Tiny Perfect Things,the stori of two teenag trap in an endless time loop who set out to find all the tini thing that make that one day perfect,"Fantasy, Romance"
Т-34,in 1944 a courag group of russian soldier manag to escap from german captiv in a halfdestroy legendari the tank those be the time of unforgett braveri fierc fight unbreak love and legendari miracl,"Action, Drama, History, War"
김복남 살인사건의 전말,a woman subject to mental physic and sexual abus on a remot island seek a way out,"Crime, Drama, Horror, Thriller"
Five Easy Pieces,a dropout from underclass america pick up work along the way on oilrig when hi life be n't spend in a squalid success of bar motel and other point of interest,Drama
Scooby-Doo and the Alien Invaders,a cosmic case of fli saucer intergalact intrigu and outofthisworld romanc launch scoobydoo and the mysteri inc gang into their most unearthli adventur ever,"Animation, Comedy, Family, Mystery, Science Fiction"
Radio,high school footbal coach harold jone befriend radio a mentallychalleng man who becom a student at to hanna high school in anderson south carolina their friendship extend over sever decad where radio transform from a shi torment man into an inspir to hi commun,Drama
Uri: The Surgical Strike,follow the roguish terrorist attack at uri armi base camp in kashmir india take the fight to the enemi in it most success covert oper till date with one and onli one object of aveng their fall hero,"Action, Drama, War"
Queen & Slim,while on a forgett first date togeth in ohio a black man and a black woman be pull over for a minor traffic infract the situat escal with sudden and tragic result,"Crime, Drama, Romance"
The Christmas Chronicles,sibl kate and teddi tri to prove santa clau be real but when they accident caus hi sleigh to crash they have to save christma,"Adventure, Comedy, Family, Fantasy"
War for the Planet of the Apes,caesar and hi ape be forc into a deadli conflict with an armi of human lead by a ruthless colonel after the ape suffer unimagin loss caesar wrestl with hi darker instinct and begin hi own mythic quest to aveng hi kind as the journey final bring them face to face caesar and the colonel be pit against each other in an epic battl that will determin the fate of both their speci and the futur of the planet,"Drama, Science Fiction, War"
42,in 1946 branch ricki harrison ford owner of the brooklyn dodger take a stand against major leagu basebal infam colour line when he sign jacki robinson chadwick baseman to the team the deal put both men in the crosshair of the public the press and even other player face unabash racism from everi side robinson be forc to demonstr tremend courag and let hi talent on the field win over fan and hi teammat i silenc hi critic and forev chang the world by chang the game of basebal,Drama
平成狸合戦ぽんぽこ,the raccoon of the mama hill be be forc from their home by the rapid develop of hous and shop mall as it becom harder to find food and shelter they decid to band togeth and fight back the raccoon practic and perfect the ancient art of transform until they be even abl to appear as human in hilari circumst,"Adventure, Animation, Fantasy"
A History of Violence,an averag famili be thrust into the spotlight after the father commit a seemingli selfdefens murder at hi diner,"Crime, Drama, Thriller"
The Old Guard,four undi warrior whole secretli protect human for centuri becom target for their mysteri power just as they discov a new immort,"Action, Fantasy"
Black Panther: Wakanda Forever,queen ramona shui dubaku okay and the dora mile fight to protect their nation from interven world power in the wake of king t’challa ’s death as the wakandan strive to embrac their next chapter the hero must band togeth with the help of war dog naka and everett ross and forg a new path for the kingdom of amanda,"Action, Adventure, Science Fiction"
Crimson Tide,after the cold war a breakaway russian republ with nuclear warhead becom a possibl worldwid threat us submarin capt frank ramsey sign on a rel green but highli recommend it car ron hunter to the uss alabama which may be the onli ship abl to stop a possibl armageddon when ramsay insist that the alabama must act aggress hunter fear they will start rather than stop a disast lead a potenti mutini to stop him,"Action, Thriller"
The Darjeeling Limited,three american brother who have not speak to each other in a year set off on a train voyag across india with a plan to find themselv and bond with each other to becom brother again like they use to be their spiritu quest howev veer rapidli ofcours due to event involv overthecount pain killer indian cough syrup and pepper spray,"Adventure, Comedy, Drama"
Novembre,in novemb 2015 a seri of unpreced and deadli attack hit pari the antiterrorist polic lead by elois and her chief command fred face an unpreced level of pressur in a race against the clock they must find the perpetr of the attack as quickli as possibl befor they can strike again travel across europ and beyond in one of the biggest manhunt in histori,"Crime, Drama, Thriller"
No,in 1988 chilean militari dictat august pinch due to intern pressur be forc to call a plebiscit on hi presid the countri will vote eye or not to pinch extend hi rule for anoth eight year opposit leader for the not vote persuad a brash young advertis execut rent saavedra to spearhead their campaign against all odd with scant resourc and while under scrutini by the despot minion saavedra and hi team devis an audaci plan to win the elect and set chile free,"Drama, History"
The Cutting Edge,two former olympian one a figur skater and the other a hockey player pin their hop of one last shoot at olymp glori on one anoth that be of cours if they can keep from kill each other in the process,"Comedy, Drama, Romance"
Welcome to the Dollhouse,an unattract ith grader struggl to cope with suburban life as the middl child with inattent parent and bulli at school,"Comedy, Drama"
Batman: Hush,a mysteri new villain know onli as hush use a galleri of villain to destroy batman prizefight career as well as bruce wayn person life which have be further complic by a relationship with selina kylecatwoman,"Action, Animation, Crime, Mystery"
American Splendor,an origin mix of fiction and realiti illumin the life of comic book hero everyman harvey pear,"Comedy, Drama"
Never Rarely Sometimes Always,a pair of teenag girl in rural pennsylvania travel to new york citi to seek out medic help after an unintend pregnanc,Drama
Midsommar,sever friend travel to sweden to studi as anthropologist a summer festiv that be hold everi nineti year in the remot hometown of one of them what begin as a dream vacat in a place where the sun never set gradual turn into a dark nightmar as the mysteri inhabit invit them to particip in their disturb festiv activ,"Drama, Horror, Mystery"
Belle,bell be inspir by the true stori of do elizabeth bell the illegitim mix race daughter of a royal navi admir rais by her aristocrat greatuncl lord minefield and hi wife bell lineag afford her certain privileg yet the color of her skin prevent her from fulli particip in the tradit of her social stand leav to wonder if she will ever find love bell fall for an idealist young vicar son bend on chang who with her help shape lord minefield role as lord chief justic to end slaveri in england,Drama
गैंग्स ऑफ़ वास्सेपुर पार्ट - १,in 1970 india a young man vow to take reveng on the man who kill hi father decad earlier,"Action, Crime, Thriller"
Gravity,do ryan stone a brilliant medic engin on her first shuttl mission with veteran astronaut matt kowalski in command of hi last flight befor retir but on a seemingli routin spacewalk disast strike the shuttl be destroy leav stone and kowalski complet aloneteth to noth but each other and spiral out into the black of space the deafen silenc tell them they have lose ani link to earth and ani chanc for rescu as fear turn to panic everi gulp of air eat away at what littl oxygen be leav but the onli way home may be to go further out into the terrifi expans of space,"Drama, Science Fiction, Thriller"
猫の恩返し,young haru rescu a cat from be run over but soon learn it no ordinari felin it happen to be the princ of the cat,"Adventure, Animation, Drama, Family, Fantasy"
Tora! Tora! Tora!,in the summer of 1941 the unit state and japan seem on the brink of war after constant embargo and fail diplomaci come to no end tora tora tora name after the code word use by the lead japanes pilot to indic they have surpris the american cover the day lead up to the attack on pearl harbor which plung america into the second world war,"Drama, History, War"
A Simple Plan,captiv by the lure of sudden wealth the quiet rural live of two brother erupt into conflict of greed paranoia and distrust when over 4 million in cash be discov at the remot site of a down small airplan their simpl plan to retain the money while avoid detect open a pandora 's box when the fear of get catch trigger panic behavior and lead to virul consequ,"Crime, Drama, Thriller"
The Caine Mutiny,when a us naval captain show sign of mental instabl that jeopard hi ship the first offic reliev him of command and face court martial for mutini,"Drama, War"
Bound,corki a tough femal convict work on an apart renov in a chicago build meet a coupl live next door caesar a paranoid mobster and violet hi seduct girlfriend who be immedi attract to her,"Drama, Thriller"
Big,when a young boy make a wish at a carniv machin to be biggi wake up the follow morn to find that it have be grant and hi bodi have grow older overnight but he be still the same 13yearold boy insid now he must learn how to cope with the unfamiliar world of grownup includ get a job and have hi first romant encount with a woman,"Comedy, Drama, Family, Fantasy, Romance"
Doctor Sleep,still irrevoc scar by the trauma he endur as a child at the overlook dan torranc have fight to find some semblanc of peac but that peac be shatter when he encount abra a courag teenag with her own power extrasensori gift know as the shine instinct recognis that dan share her power abra have seek him out desper for hi help against the merciless rise the hat and her follow,"Fantasy, Horror, Thriller"
The Professor and the Madman,professor jam murray begin work compil word for the first edit of the oxford english dictionari in the mid with centuri and receiv over 10000 entri from a patient at broadmoor crimin lunat asylum do william minor,"Drama, History, Mystery, Thriller"
黃飛鴻,set in late with centuri canton thi martial art film depict the stanc take by the legendari martial art hero wong feihong against foreign forc plunder of china,"Action, Drama"
Brother,a japanes yakuza gangster deadli exist in hi homeland get him exil to lo angel where he be take in by hi littl brother and hi brother gang,"Crime, Drama, Thriller"
The Healer,the film follow a man with an unwant gift for heal who meet a teenag with cancer who help him to find himself,"Comedy, Drama, Family"
Trumbo,the career of screenwrit dalton thumb be halt by a witch hunt in the late 1940 when he defi the anticommunist hua committe and be blacklist,Drama
Lars and the Real Girl,extrem shi lar find it imposs to make friend or social hi brother and sisterinlaw worri about him so when he announc that he have a girlfriend he meet on the internet they be overjoy but lar new ladi be a lifetim plastic woman on the advic of a doctor hi famili and the rest of the commun go along with hi delus,"Comedy, Drama, Romance"
Sophie Scholl – Die letzten Tage,in 1943 as hitler continu to wage war across europ a group of colleg student mount an underground resist movement in munich dedic expressli to the downfal of the monolith third reich war machin they call themselv the white rise one of it few femal member sophi school be captur dure a danger mission to distribut pamphlet on campu with her brother han unwav in her convict and loyalti to the white rise her crossexamin by the gestapo quickli escal into a sear test of will as school deliv a passion call to freedom and person respons,"Drama, History"
Petite maman,after the death of her belov grandmoth eightyearold nelli meet a strang familiar girl her own age in the wood instantli form a connect with thi mysteri new friend nelli embark on a fantast journey of discoveri which help her come to term with thi newfound loss,"Drama, Fantasy"
明日戰記,when a meteor carri a destruct plant strike the world a suicid squad be give hour to save their postapocalypt citi from total collaps,"Action, Drama, Science Fiction"
Max,a dog that help soldier in afghanistan return to the us and be adopt by hi handler famili after suffer a traumat experi,"Adventure, Drama, Family"
Marnie,marni be a thief a liar and a cheat when her new boss mark roland catch on to her routin kleptomaniac she find herself be blackmail,"Crime, Drama, Mystery, Romance, Thriller"
The House That Jack Built,fail architect engin and viciou murder jack narrat the detail of some of hi most elabor orchestr crime each of them a tower piec of art that defin hi life work as a serial killer for twelv year,"Crime, Drama, Horror, Thriller"
Brimstone,in the menac inferno of the old northamerican west liz be a genuin survivor who be hunt by a veng preacher for a crime she do n't commit,"Drama, Mystery, Thriller, Western"
Oh Boy,a fate day push an aimless colleg dropout to stop wast hi time and final engag with life,"Comedy, Drama"
Vera Drake,abortionist vera drake find her belief and practic clash with the more of 1950 britain i a conflict that lead to tragedi for her famili,Drama
Pale Rider,a mysteri preacher protect a humbl prospector villag from a greedi mine compani tri to encroach on their land,Western
The Master,freddi a volatil heavydrink veteran who suffer from posttraumat stress disord find some semblanc of a famili when he stumbl onto the ship of lancast dodd the charismat leader of a new religion he form after world war ii,Drama
Kiss Me Deadly,one even hammer give a ride to christina an attract hitchhik on a lone countri road who have escap from the nearbi lunat asylum thug waylay them and forc hi car to crash when hammer return to semiconsci he hear christina be tortur until she die hammer both for vengeanc and in hop that someth big be behind it all decid to pursu the case,"Crime, Mystery, Thriller"
The Driver,the driver special in drive getaway car for robberi hi except talent have prevent him from be catch yet after anoth success flight from the polic a selfassur detect make it hi primari goal to catch the driver he promis pardon to a gang if they help to convict him in a setup robberi the driver seek help from the player to mislead the detect,"Action, Crime, Thriller"
Fear Street: 1666,in 1666 a coloni town be grip by a hyster witchhunt that have deadli consequ for centuri to come and it up to teenag in 1994 to final put an end to their town curs befor it too late,"Horror, Mystery"
Peter Rabbit 2: The Runaway,peter rabbit run away from hi human famili when he learn they be go to portray him in a bad light in their book soon he cross path with an older rabbit who rope him into a heist,"Adventure, Animation, Comedy, Family, Fantasy"
Midway,the stori of the battl of midway and the leader and soldier who use their instinct fortitud and braveri to overcom massiv odd,"Action, Adventure, Drama, History, War"
Efter brylluppet,a manag of an orphanag in india be send to copenhagen denmark where he discov a lifealt famili secret,Drama
The Last Castle,a courtmarti gener ralli togeth 1200 inmat to rise against the system that put him away,"Action, Drama, Thriller"
Out of Africa,out of africa tell the stori of the life of danish author karen alien who at the begin of the with centuri move to africa to build a new life for herself the film be base on the autobiograph novel by karen alien from 1937,"Drama, History, Romance"
TÁR,renown musician lydia tar be day away from record the symphoni that will elev her career howev lydia elabor facad begin to unravel reveal dirti secret and the corros natur of power,"Drama, Music"
Fathers and Daughters,a pulitzerwin writer grappl with be a widow and father after a mental breakdown while 27 year later hi grow daughter struggl to forg connect of her own,Drama
La Chèvre,when the boss unlucki daughter be miss in south america compani be send to watch the boss most unlucki employe who be send as a privat detect in hop he can duplic the daughter mistak,"Adventure, Comedy, Crime"
3:10 to Yuma,dan evan a small time farmer be hire to escort ben wade a danger outlaw to yuma as evan and wade wait for the 310 train to yuma wad gang be race to free him,"Drama, Thriller, Western"
The Transformers: The Movie,the autobot must stop a coloss planetconsum robot who go after the autobot matrix of leadership at the same time they must defend themselv against an fallout attack from the decepticon,"Action, Adventure, Animation, Family, Science Fiction"
Poltergeist,steve feel live with hi wife dian and their three children dana robbi and carol ann in southern california where he sell hous for the compani that build the neighborhood it start with just a few odd occurr such as break dish and furnitur move around by itself howev when he realiz that someth truli evil haunt hi home steve call in a team of parapsychologist lead by do less to help befor it too late,Horror
Grâce à Dieu,alexand live in lyon with hi wife and children one day he discov by chanc that the priest who abus him to scout alway offici with children he then start a fight quickli join by francoi and emmanuel also victim of the priest to releas their word on what they suffer,Drama
The King,england with centuri hal a caprici princ who live among the populac far from court be forc by circumst to reluctantli accept the throne and becom henri i,"Drama, History, War"
Molly's Game,molli bloom a young skier and former olymp hope becom a success entrepreneur and a target of an fbi investig when she establish a highstak intern poker game,"Crime, Drama"
Saphirblau,gwen have just discov that she s the final member of the secret timetravel circl of twelv now she have to juggl with constant trip to the past her relationship with gideon and figur out dark secret surround the circl,"Drama, Fantasy, Romance"
Secondhand Lions,the comed adventur of an introvert boy leav on the doorstep of a pair of reluct eccentr greatuncl whose exot remembr stir the boy spirit and reignit the men live,"Comedy, Family"
Matilda,an extraordinarili intellig young girl from a cruel and uncar famili discov she possess telekinet power and be send off to a school head by a tyrann princip,"Comedy, Family, Fantasy"
Casualties of War,dure the vietnam war a soldier find himself the outsid of hi own squad when they unnecessarili kidnap a femal villag,"Drama, History, War"
Troy,in year 1250 be dure the late bronz age two emerg nation begin to clash pari the trojan princ convinc helen queen of sparta to leav her husband menelau and sail with him back to troy after menelau find out that hi wife be take by the trojan he ask hi brother agamemnon to help him get her back agamemnon see thi as an opportun for power they set off with 1000 ship hold 50000 greek to troy,"Action, Adventure, History, War"
The Upside,phillip be a wealthi quadripleg who need a caretak to help him with hi daytoday routin in hi new york penthous he decid to hire dell a struggl parole who s tri to reconnect with hi ex and hi young son despit come from two differ world an unlik friendship start to blossom,"Comedy, Drama"
The Way Way Back,shi 14yearold duncan go on summer vacat with hi mother her overbear boyfriend and her boyfriend daughter have a rough time fit in duncan find an unexpect friend in owen manag of the water jizz water park,"Comedy, Drama"
Friday,craig and smokey be two guy in lo angel hang out on their porch on a friday afternoon smoke and drink look for someth to do,Comedy
Barbie and the Magic of Pegasus,princess annika escap the clutch of the evil wizard explor the wonder of cloud kingdom and team up with a magnific wing hors who turn out to be her sister princess britta to defeat the wizard and break the spell that imprison her famili,"Animation, Family, Romance"
Thief,frank be an expert profession safecrack special in highprofil diamond heist he plan to use hi illgotten incom to retir from crime and build a nice life for himself complet with a home wife and kid to acceler the process he sign on with a top gangster for a big score,"Action, Crime, Thriller"
House of Sand and Fog,tehran an iranian immigr buy a california bungalow think he can fix it up sell it again and make enough money to send hi son to colleg howev the hous be the legal properti of former drug addict kathi after lose the hous in an unfair legal disput with the counti she be leav with nowher to go want her hous back she hire a lawyer and befriend a polic offic neither kathi nor tehran have break the law so they find themselv involv in a difficult moral dilemma,Drama
Superman: Man of Tomorrow,it 's the dawn of a new age of hero and metropoli have just meet it first but as daili planet intern clark kent i work alongsid report loi lane i secretli wield hi alien power of flight superstrength and xray vision in the battl for good there 's even greater troubl on the horizon,"Action, Animation, Science Fiction"
Deadpool: No Good Deed,deadpool see an opportun to save the day but it do n't go entir as plan,"Action, Comedy, Crime"
La Grande Bouffe,four friend gather at a villa with the intent of eat themselv to death,"Comedy, Drama"
Los abrazos rotos,harri cain a blind writer reach thi moment in time when he have to heal hi wound from 14 year back he be then still know by hi real name mateo blanco and direct hi last movi,"Drama, Romance, Thriller"
Trolls Band Together,when branch brother floyd be kidnap for hi music talent by a pair of nefari popular villain branch and poppi embark on a harrow and emot journey to reunit the other brother and rescu floyd from a fate even wors than popcultur obscur,"Animation, Comedy, Family, Fantasy, Music"
Greenland,john garriti hi estrang wife and their young son embark on a peril journey to find sanctuari as a planetkil comet hurtl toward earth amid terrifi account of citi get level the garriti experi the best and worst in human as the countdown to the global apocalyps approach zero their incred trek culmin in a desper and lastminut flight to a possibl safe haven,"Action, Drama, Thriller"
Uncut Gems,a charismat new york citi jewel alway on the lookout for the next big score make a seri of highstak bet that could lead to the windfal of a lifetim howard must perform a precari highwir act balanc busi famili and encroach adversari on all side in hi relentless pursuit of the ultim win,"Crime, Drama, Thriller"
Saul fia,in the horror of 1944 auschwitz a prison forc to burn the corps of hi own peopl find moral surviv tri to save from the flame the bodi of a boy he take for hi son,"Drama, Thriller, War"
Tangled Ever After,the kingdom be in a festiv mood as everyon gather for the royal we d of rapunzel and flynn howev when pascal and maximu as flower chameleon and ring bearer respect lose the gold band a frenzi search and recoveri mission get underway as the desper duo tri to find the ring befor anyon discov that they 're miss they leav behind a trail of comic chao that includ fli lantern a flock of dove a wine barrel barricad and a veri sticki final will maximu and pascal save the day and make it to the church in time and will they ever get flynn 's nose right,"Action, Animation, Comedy, Family"
Straw Dogs,david summer a mildmann academ from the unit state marri ami an englishman in order to escap a hectic statesid lifestyl david and hi wife reloc to the small town in rural cornwal where ami be rais there david be ostrac by the brutish men of the villag includ ami old flame charli eventu the taunt escal and two of the local rape ami thi sexual assault awak a shockingli violent side of david,"Drama, Thriller"
赤壁,in 208 ad in the final day of the han dynasti shrewd prime minster cao convinc the fickl emperor han the onli way to unit all of china be to declar war on the kingdom of xu in the west and east wu in the south thu begin a militari campaign of unpreced scale leav with no other hope for surviv the kingdom of xu and east wu form an unlik allianc,"Action, Adventure, Drama, History, War"
In America,a famili of irish immigr adjust to life on the mean street of hell kitchen while also griev the death of a child,Drama
Lolita,urban professor hubert hubert marri a new england widow to be near her nymphet daughter,Drama
Stepmom,jacki be a divorc mother of two isabel be the career mind girlfriend of jacki 's husband luke forc into the role of unwelcom stepmoth to their children but when jacki discov she be ill both women realis they must put asid their differ to find a common grind and celebr life to the fullest while they have the chanc,"Comedy, Drama, Romance"
Murder on the Orient Express,in 1935 when hi train be stop by deep snow detect hercul poirot be call on to solv a murder that occur in hi car the night befor,"Drama, Mystery, Thriller"
Munich,dure the 1972 olymp game in munich eleven isra athlet be take hostag and murder by a palestinian terrorist group know as black septemb in retali the isra govern recruit a group of mossad agent to track down and execut those respons for the attack,"Action, Drama, History, Thriller"
Sissi - Die junge Kaiserin,sissi be now the empress of austria and attempt to learn etiquett while she be busi be empress she also have to deal with her difficult new motherinlaw while the archduchess sophi be tri to tell the emperor how to rule and also sissi how to be a mother,"Comedy, Drama, Romance"
Les amours imaginaires,franci be a young gay man mari be a young straight woman and the two of them be best friend until the day the gorgeou nicola walk into a montreal coffe shop the two friend instantli and equal infatu compet for nicola indetermin affect a conflict that climax when the trio visit the vacat home of nicola mother the frothi comedi unfold through narr fantasi sequenc and confession monologu,"Drama, Romance"
唐山大兄,cheng be a young chines mainland who move in with hi expatri cousin to work at an ice factori in thailand he do thi with a famili promis never to get involv in ani fight howev when member of hi famili begin disappear after meet the manag of the factori the result mysteri and pressur forc him to break that vow and take on the villaini of the big boss,Action
Death and the Maiden,a polit activist be convinc that her guest be a man who onc tortur her for the govern,"Drama, Thriller"
The Wrong Man,in 1953 an innoc man name christoph emmanuel manni balestrero be arrest after be mistak for an arm robber,"Crime, Drama"
Following,bill an idl unemploy aspir writer walk the crowd street of london follow randomli choos stranger a seemingli innoc entertain that becom danger when he cross path with a mysteri charact,"Drama, Thriller"
The China Syndrome,while do a seri of report on altern energi sourc opportunist report kimberli well wit an accid at a nuclear power plant well be determin to public the incid but soon find herself entangl in a sinist conspiraci to keep the full impact of the incid a secret,"Drama, Thriller"
The Ballad of Buster Scruggs,vignett weav togeth the stori of six individu in the old west at the end of the civil war follow the tale of a sharpshoot monster a wannab bank robber two weari travel perform a lone gold prospector a woman travel the west to an uncertain futur and a motley crew of stranger undertak a carriag ride,"Comedy, Drama, Western"
Io speriamo che me la cavo,a bureaucrat snafu send marco tulip petrelli a portli middleag northern italian to teach third grade in a poor town outsid napl,Comedy
Riley's First Date?,riley now 12 who be hang out with her parent at home when potenti troubl come knock mom and dad emot find themselv forc to deal with riley go on her first date,"Animation, Family"
Deux Frères,two tiger be separ as cub and take into captiv onli to be reunit year later as enemi by an explor pearc who inadvert forc them to fight each other,"Adventure, Drama, Family"
Downton Abbey,the belov crawler and their intrepid staff prepar for the most import moment of their live a royal visit from the king and queen of england will unleash scandal romanc and intrigu that will leav the futur of downtown hang in the balanc,"Drama, History, Romance"
In Your Eyes,two seemingli unconnect soul from differ corner of the unit state make a telepath bond that allow them to see hear and feel the other experi creat a bond that appar ca nt be break,"Drama, Romance, Science Fiction"
Trash,set in brazil three kid who make a discoveri in a garbag dump soon find themselv run from the cop and tri to right a terribl wrong,"Adventure, Crime, Drama, Thriller"
Le Gamin au vélo,abandon by hi father a young boy be leav in the hand of an unqualifi childcar provid,Drama
Magnum Force,dirti harri callahan be a san francisco polic inspector on the trail of a group of rogu cop who have take justic into their own hand when shadi charact be murder one after anoth in grisli fashion onli dirti harri can stop them,"Action, Crime, Drama"
Across the Universe,when young dockwork jude leav liverpool to find hi estrang father in the unit state he be sweep up by the wave of chang that be reshap the nation jude fall in love with luci who join the grow antiwar movement as the bodi count in vietnam rise polit tension at home spiral out of control and the starcross lover find themselv in a psychedel world go mad,"Drama, Fantasy, Romance"
Death on the Nile,as hercul poirot enjoy a luxuri cruis down the nile a newlyw heiress be find murder on board can poirot identifi the killer befor the ship reach the end of it journey,Mystery
Stranger Than Paradise,a hungarian immigr hi friend and hi cousin go on an unpredict adventur across america,"Comedy, Drama"
Once Upon a Deadpool,a kidnap fred savag be forc to endur deadpool pg13 rendit of deadpool 2 as a princess brideesqu stori that s full of magic wonder zero be,"Action, Adventure, Comedy"
피에타,a loan shark be forc to reconsid hi violent lifestyl after the arriv of a mysteri woman claim to be hi longest mother,Drama
Murder in the First,inspir by a true stori a petti crimin send to alcatraz in the 1930 be catch attempt to make an escap as punish he be put in solitari confin the maximum stay be suppos to be 19 day but henri spend year alon cold and in complet dark onli to emerg a madman and soon to be a murder the stori follow a rooki lawyer attempt to prove that alcatraz be to blame,"Crime, Drama"
Pooh's Grand Adventure: The Search for Christopher Robin,pooh get confus when christoph robin leav him a note to say that he have go back to school after the holiday so pooh piglet tigger eeyor and rabbit go in search of christoph robin which lead to a big adventur,"Adventure, Animation, Family"
