Title,Discription,Genre
Gabriel's Inferno: Part III,the final part of the film adopt of the erot romanc novel gabriel inferno write by an anonym canadian author under the pen name sylvain renard,"Drama, Romance"
Spider-Man: Into the Spider-Verse,struggl to find hi place in the world while juggl school and famili brooklyn teenag mile moral be unexpectedli bite by a radioact spider and develop unfathom power just like the one and onli spiderman while wrestl with the implic of hi new abil mile discov a super collid creat by the madman wilson kingpin fisk caus other from across the spidervers to be inadvert transport to hi dimens,"Action, Adventure, Animation, Science Fiction"
O Auto da Compadecida,the live jojo grill and the sli chick be poor guy live in the hinterland who cheat a bunch of peopl in a small in northeastern brazil when they die they have to be judg by christ the devil and the virgin mari befor they be admit to paradis,"Comedy, Drama, Fantasy"
The Lord of the Rings: The Fellowship of the Ring,young hobbit frodo baggin after inherit a mysteri ring from hi uncl bilbo must leav hi home in order to keep it from fall into the hand of it evil creator along the way a fellowship be form to protect the ringlead and make sure that the ring arriv at it final destin it doom the onli place where it can be destroy,"Action, Adventure, Fantasy"
ハウルの動く城,sophi a young millineri be turn into an elderli woman by a witch who enter her shop and curs her she encount a wizard name howl and get catch up in hi resist to fight for the king,"Adventure, Animation, Fantasy"
Spider-Man: Across the Spider-Verse,after reunit with gwen staci brooklyn fulltim friendli neighborhood spiderman be catapult across the multivers where he encount the spider societi a team of spiderpeopl charg with protect the multivers veri exist but when the hero clash on how to handl a new threat mile find himself pit against the other spider and must set out on hi own to save those he love most,"Action, Adventure, Animation, Science Fiction"
切腹,downonhisluck veteran tsugumo hashiri enter the courtyard of the prosper hous of ii unemploy and with no famili he hop to find a place to commit seppuku — and a worthi second to deliv the coup de grace in hi suicid ritual the senior counselor for the ii clan question the ronin resolv and integr suspect hashiri of seek chariti rather than an honor end what follow be a pair of interlock stori which lay bare the differ between honor and respect and promis to examin the legendari foundat of the samurai code,"Action, Drama, History"
소원,after 8yearold soon narrowli surviv a brutal sexual assault her famili labor to help her heal while cop with their own rage and grief,Drama
映画 聲の形,should ishida start bulli the new girl in class should nishimiya becaus she be deaf but as the teas continu the rest of the class start to turn on should for hi lack of compass when they leav elementari school should and should do not speak to each other again until an older wiser should torment by hi past behaviour decid he must see should onc more he want to aton for hi sin but be it alreadi too late,"Animation, Drama"
The Empire Strikes Back,the epic saga continu as luke skywalk in hop of defeat the evil galact empir learn the way of the jedi from age master yoda but darth vader be more determin than ever to captur luke meanwhil rebel leader princess leia cocki han solo chewbacca and droid capo and red be throw into variou stag of captur betray and despair,"Action, Adventure, Science Fiction"
The Lord of the Rings: The Two Towers,frodo and sam be trek to mordor to destroy the one ring of power while girl lego and dragon search for the recaptur merri and pippin all along nefari wizard saruman await the fellowship member at the orphan tower in isengard,"Action, Adventure, Fantasy"
Whiplash,under the direct of a ruthless instructor a talent young drummer begin to pursu perfect at ani cost even hi human,"Drama, Music"
The Pianist,the true stori of pianist władysław szpilman experi in warsaw dure the nazi occup when the jew of the citi find themselv forc into a ghetto szpilman find work play in a cafe and when hi famili be deport in 1942 he stay behind work for a while as a labor and eventu go into hide in the ruin of the cartoon citi,"Drama, War"
"The Boy, the Mole, the Fox and the Horse",the unlik friendship of a boy a mole a fox and a hors travel togeth in the boy search for home,"Adventure, Animation, Family, Fantasy"
Se7en,two homicid detect be on a desper hunt for a serial killer whose crime be base on the seven deadli sin in thi dark and haunt film that take viewer from the tortur remain of one victim to the next the season det somerset research each sin in an effort to get insid the killer mind while hi novic partner mill scoff at hi effort to unravel the case,"Crime, Mystery, Thriller"
Inception,cobb a skill thief who commit corpor espionag by infiltr the subconsci of hi target be offer a chanc to regain hi old life as payment for a task consid to be imposs incept the implant of anoth person idea into a target subconsci,"Action, Adventure, Science Fiction"
映画 五等分の花嫁,when five love young girl who hate studi hire wartim tutor futari he guid not onli their educ but also their heart time spend have bring them all closer with feel grow within the girl and futari as they finish their third year of high school and their last school festiv approach they set their sight on what 's next be there a futur with one of them and futari,"Animation, Comedy, Romance"
Rear Window,a wheelchairbound photograph spi on hi neighbor from hi apart window and becom convinc one of them have commit murder,"Mystery, Thriller"
蛍火の杜へ,one hot summer day a littl girl get lose in an enchant forest of the mountain god where spirit resid a young boy appear befor her but she can not touch him for fear of make him disappear and so a wondrou adventur await,"Animation, Fantasy, Romance"
American History X,derek vineyard be parol after serv 3 year in prison for kill two africanamerican men through hi brother danni vineyard narrat we learn that befor go to prison derek be a skinhead and the leader of a violent white supremacist gang that commit act of racial crime throughout la and hi action greatli influenc danni reform and fresh out of prison derek sever contact with the gang and becom determin to keep danni from go down the same violent path as he do,Drama
The Silence of the Lambs,claric starl be a top student at the fbi train academi jack crawford want claric to interview do hannib lecter a brilliant psychiatrist who be also a violent psychopath serv life behind bar for variou act of murder and cannib crawford believ that lecter may have insight into a case and that starl as an attract young woman may be just the bait to draw him out,"Crime, Drama, Thriller"
もののけ姫,ashita a princ of the disappear amish peopl be curs by a demon boar god and must journey to the west to find a cure along the way he encount san a young human woman fight to protect the forest and ladi hoshi who be tri to destroy it ashita must find a way to bring balanc to thi conflict,"Adventure, Animation, Fantasy"
新世紀エヴァンゲリオン劇場版 Air／まごころを、君に,the second of two theatric releas follow to the neon genesi evangelist seri compris of two altern episod which be first intend to take the place of episod 25 and 26 thi final answer mani of the question surround the seri while also open up some new possibl,"Action, Animation, Drama, Science Fiction"
The Great Dictator,dictat adenoid hunker tri to expand hi empir while a poor jewish barber tri to avoid persecut from yokel regim,"Comedy, War"
生きる,kanji watanab be a middleag man who have work in the same monoton bureaucrat posit for decad learn he have cancer he start to look for the mean of hi life,Drama
Sunset Boulevard,a hack screenwrit write a screenplay for a former silent film star who have fade into hollywood obscur,Drama
ジョゼと虎と魚たち,with dream of dive abroad tune get a job assist jose an artist whose imagin take her far beyond her wheelchair but when the tide turn against them they push each other to place they never think possibl and inspir a love fit for a storybook,"Animation, Drama, Romance"
C'è ancora domani,delia be a typic housewif in postwar itali whose famili be in turmoil over the impend engag of belov firstborn marcella the arriv of a mysteri letter howev will ignit elia courag to face her abus husband and imagin a better futur,"Comedy, Drama"
